Count_nuclei,FileName_images,ImageNumber
12198.0,"D4_-1_1_1_Stitched[DAPI 377,447]_001.tif",85
11166.0,"D5_-1_1_1_Stitched[DAPI 377,447]_001.tif",86
3182.0,"D6_-1_1_1_Stitched[DAPI 377,447]_001.tif",87
927.0,"D7_-1_1_1_Stitched[DAPI 377,447]_001.tif",88
974.0,"D8_-1_1_1_Stitched[DAPI 377,447]_001.tif",89
942.0,"D9_-1_1_1_Stitched[DAPI 377,447]_001.tif",90
737.0,"E10_-1_1_1_Stitched[DAPI 377,447]_001.tif",91
575.0,"E11_-1_1_1_Stitched[DAPI 377,447]_001.tif",92
12829.0,"E2_-1_1_1_Stitched[DAPI 377,447]_001.tif",93
12675.0,"E3_-1_1_1_Stitched[DAPI 377,447]_001.tif",94
12641.0,"E4_-1_1_1_Stitched[DAPI 377,447]_001.tif",95
10136.0,"E5_-1_1_1_Stitched[DAPI 377,447]_001.tif",96
3055.0,"E6_-1_1_1_Stitched[DAPI 377,447]_001.tif",97
870.0,"E7_-1_1_1_Stitched[DAPI 377,447]_001.tif",98
852.0,"E8_-1_1_1_Stitched[DAPI 377,447]_001.tif",99
945.0,"E9_-1_1_1_Stitched[DAPI 377,447]_001.tif",100
59.0,"F10_-1_1_1_Stitched[DAPI 377,447]_001.tif",101
15.0,"F11_-1_1_1_Stitched[DAPI 377,447]_001.tif",102
12624.0,"F2_-1_1_1_Stitched[DAPI 377,447]_001.tif",103
12654.0,"F3_-1_1_1_Stitched[DAPI 377,447]_001.tif",104
12343.0,"F4_-1_1_1_Stitched[DAPI 377,447]_001.tif",105
10502.0,"F5_-1_1_1_Stitched[DAPI 377,447]_001.tif",106
4528.0,"F6_-1_1_1_Stitched[DAPI 377,447]_001.tif",107
907.0,"F7_-1_1_1_Stitched[DAPI 377,447]_001.tif",108
758.0,"F8_-1_1_1_Stitched[DAPI 377,447]_001.tif",109
364.0,"F9_-1_1_1_Stitched[DAPI 377,447]_001.tif",110
7.0,"G10_-1_1_1_Stitched[DAPI 377,447]_001.tif",111
5.0,"G11_-1_1_1_Stitched[DAPI 377,447]_001.tif",112
12654.0,"G2_-1_1_1_Stitched[DAPI 377,447]_001.tif",113
12716.0,"G3_-1_1_1_Stitched[DAPI 377,447]_001.tif",114
11556.0,"G4_-1_1_1_Stitched[DAPI 377,447]_001.tif",115
9774.0,"G5_-1_1_1_Stitched[DAPI 377,447]_001.tif",116
3578.0,"G6_-1_1_1_Stitched[DAPI 377,447]_001.tif",117
782.0,"G7_-1_1_1_Stitched[DAPI 377,447]_001.tif",118
727.0,"G8_-1_1_1_Stitched[DAPI 377,447]_001.tif",119
204.0,"G9_-1_1_1_Stitched[DAPI 377,447]_001.tif",120
7533.0,"B10_-1_1_1_Stitched[DAPI 377,447]_001.tif",121
1001.0,"B11_-1_1_1_Stitched[DAPI 377,447]_001.tif",122
11546.0,"B2_-1_1_1_Stitched[DAPI 377,447]_001.tif",123
12471.0,"B3_-1_1_1_Stitched[DAPI 377,447]_001.tif",124
12373.0,"B4_-1_1_1_Stitched[DAPI 377,447]_001.tif",125
12753.0,"B5_-1_1_1_Stitched[DAPI 377,447]_001.tif",126
12654.0,"B6_-1_1_1_Stitched[DAPI 377,447]_001.tif",127
11955.0,"B7_-1_1_1_Stitched[DAPI 377,447]_001.tif",128
11288.0,"B8_-1_1_1_Stitched[DAPI 377,447]_001.tif",129
9444.0,"B9_-1_1_1_Stitched[DAPI 377,447]_001.tif",130
671.0,"C10_-1_1_1_Stitched[DAPI 377,447]_001.tif",131
582.0,"C11_-1_1_1_Stitched[DAPI 377,447]_001.tif",132
12020.0,"C2_-1_1_1_Stitched[DAPI 377,447]_001.tif",133
11749.0,"C3_-1_1_1_Stitched[DAPI 377,447]_001.tif",134
12461.0,"C4_-1_1_1_Stitched[DAPI 377,447]_001.tif",135
9111.0,"C5_-1_1_1_Stitched[DAPI 377,447]_001.tif",136
4422.0,"C6_-1_1_1_Stitched[DAPI 377,447]_001.tif",137
918.0,"C7_-1_1_1_Stitched[DAPI 377,447]_001.tif",138
541.0,"C8_-1_1_1_Stitched[DAPI 377,447]_001.tif",139
850.0,"C9_-1_1_1_Stitched[DAPI 377,447]_001.tif",140
859.0,"D10_-1_1_1_Stitched[DAPI 377,447]_001.tif",141
753.0,"D11_-1_1_1_Stitched[DAPI 377,447]_001.tif",142
12204.0,"D2_-1_1_1_Stitched[DAPI 377,447]_001.tif",143
11953.0,"D3_-1_1_1_Stitched[DAPI 377,447]_001.tif",144
11493.0,"D4_-1_1_1_Stitched[DAPI 377,447]_001.tif",145
10180.0,"D5_-1_1_1_Stitched[DAPI 377,447]_001.tif",146
